lon,lat
-122.3207895,47.61465549
-122.3554069,47.62457616
-122.3283619,47.63750668
-122.2694636,47.52913458
-122.28473,47.537956
-122.3432623,47.61145276
-122.331085,47.602413
-122.3413384,47.69416649
-122.2699915,47.52211414
-122.3257211,47.59583631
-122.2977111,47.7201846
-122.3394586,47.60905306
-122.3131157,47.66218058
-122.3350179,47.61090902
-122.3276735,47.59835441
-122.355515,47.713253
-122.32649,47.615215
-122.3366873,47.61021277
-122.36567,47.635956
-122.364517,47.52595151
-122.2946969,47.72018507
-122.3638837,47.62586165
-122.3352146,47.60172278
-122.3018805,47.72248628
-122.3410815,47.6202993
-122.345,47.613655
-122.35215,47.672455
-122.3447064,47.70579857
-122.3332356,47.60644457
-122.3240326,47.60980069
-122.32945,47.60901496
-122.2701547,47.53644387
-122.299698,47.68349863
-122.3506476,47.51825201
-122.2807529,47.56468579
-122.27809,47.53063
-122.3155393,47.65760232
-122.3408737,47.60640698
-122.324978,47.52047659
-122.367276,47.51828947
-122.3774515,47.56245377
-122.3445,47.68586
-122.3290571,47.57876777
-122.2769425,47.52611685
-122.3114617,47.61504286
-122.3270173,47.59835485
-122.3139102,47.61995898
-122.3219184,47.70858578
-122.3458631,47.61299081
-122.3353763,47.61213578
-122.3400165,47.60881966
-122.3347922,47.5491906
-122.316845,47.61468385
-122.3119268,47.66566055
-122.303535,47.629623
-122.3713235,47.54694355
-122.3665302,47.52828076
-122.34607,47.707283
-122.3424031,47.61854961
-122.2812942,47.53704035
-122.338524,47.613342
-122.3244506,47.67816095
-122.3629755,47.55281977
-122.3207513,47.60684371
-122.3642723,47.5563782
-122.32789,47.616173
-122.3423002,47.72551124
-122.3383483,47.60951744
-122.31651,47.548866
-122.3345243,47.70233163
-122.342384,47.620304
-122.3781857,47.64846568
-122.29523,47.56941
-122.3024622,47.68648384
-122.3920079,47.51081375
-122.3023411,47.6016649
-122.367312,47.52102758
-122.3270138,47.59919385
-122.3761394,47.63633605
-122.3770897,47.58635556
-122.3479331,47.72503884
-122.3223638,47.61049854
-122.3422852,47.63498835
-122.3335291,47.60088239
-122.3858591,47.58119072
-122.322975,47.68823
-122.3359286,47.61190424
-122.2880191,47.52788398
-122.3882175,47.63806281
-122.3276807,47.59665538
-122.3447721,47.61117231
-122.3553023,47.69059448
-122.3167836,47.60556582
-122.3382473,47.61024631
-122.3276807,47.59665538
-122.3184307,47.59918657
-122.2937511,47.53891249
-122.3207714,47.61351951
-122.350691,47.67173649
-122.31678,47.610977
-122.3408737,47.60640698
-122.3454439,47.61508874
-122.3445627,47.61222186
-122.36653,47.528282
-122.3304204,47.62024435
-122.3314085,47.60276654
-122.3365647,47.60505166
-122.3662809,47.64015098
-122.3340104,47.61064592
-122.367276,47.51828947
-122.34476,47.70905972
-122.3384376,47.6182429
-122.3621501,47.53551506
-122.27567,47.545788
-122.3446349,47.70007202
-122.3332356,47.60644457
-122.3300604,47.61639427
-122.3338081,47.61210339
-122.2622281,47.67889074
-122.316845,47.61468385
-122.324615,47.708603
-122.307008,47.59999802
-122.2978364,47.57793795
-122.3184307,47.59918657
-122.3301747,47.61568181
-122.3348178,47.61236845
-122.3867767,47.56200905
-122.3373204,47.61132124
-122.316845,47.61468385
-122.3428432,47.61355147
-122.3633375,47.56381273
-122.3382473,47.61024631
-122.34466,47.701794
-122.3368377,47.61289774
-122.3604727,47.67866906
-122.3221204,47.61464614
-122.359462,47.64689532
-122.4018024,47.68924173
-122.34495,47.72048
-122.33454,47.60787143
-122.316845,47.61468385
-122.3430847,47.6177997
-122.30257,47.724754
-122.2680301,47.51985178
-122.360058,47.61889547
-122.3373387,47.60925298
-122.4094203,47.67042954
-122.3546001,47.51735713
-122.39081,47.56569
-122.3291534,47.61823776
-122.3604648,47.52738604
-122.326805,47.608643
-122.3239762,47.56406844
-122.3289663,47.59961646
-122.356934,47.63777609
-122.308655,47.62605
-122.3343116,47.60846026
-122.298669,47.59924995
-122.274091,47.54247025
-122.3540276,47.61664361
-122.356705,47.62502
-122.31307,47.664898
-122.3156579,47.67539722
-122.3362293,47.60971758
-122.3376749,47.60458687
-122.3289145,47.61346576
-122.27203,47.54697
-122.3308075,47.60046424
-122.3334038,47.62675111
-122.3446554,47.70179211
-122.3304204,47.62024435
-122.3340387,47.60172211
-122.2970759,47.57694241
-122.3905843,47.58210348
-122.3203335,47.52348325
-122.38391,47.643845
-122.3353208,47.60872452
-122.2864886,47.5601082
-122.2859992,47.5814359
-122.3445262,47.69092489
-122.3767718,47.68045515
-122.322111,47.61406499
