lon,lat,grade
-122.2642894,47.49648572,1
-122.26108,47.496815,1
-122.267744,47.49872264,1
-122.267744,47.49872264,1
-122.247604,47.499725,1
-122.2476035,47.49972508,1
-122.2476035,47.49972508,1
-122.2476035,47.49972508,1
-122.2497831,47.5000071,1
-122.2609863,47.50017387,1
-122.2414142,47.50055992,1
-122.2499377,47.50067693,1
-122.2624122,47.50084995,1
-122.2436713,47.50145726,1
-122.2696514,47.50198862,1
-122.2631469,47.50253494,1
-122.2648511,47.50255734,1
-122.2661917,47.50257748,1
-122.2427698,47.50271003,1
-122.2427698,47.50271003,1
-122.2631391,47.50294515,1
-122.2648432,47.5031096,1
-122.2620234,47.50312214,1
-122.2620234,47.50312214,1
-122.2620234,47.50312214,1
-122.2631251,47.50412114,1
-122.3789107,47.50418641,1
-122.3789107,47.50418641,1
-122.3722129,47.50428585,1
-122.2583088,47.50435884,1
-122.2577612,47.5043788,1
-122.2559639,47.50443759,1
-122.2509707,47.50448639,1
-122.2509707,47.50448639,1
-122.2648181,47.50489478,1
-122.2583162,47.5052462,1
-122.2568027,47.50617354,1
-122.2494523,47.50638074,1
-122.2491196,47.5072985,1
-122.2491196,47.5072985,1
-122.3787151,47.5082137,1
-122.3787151,47.5082137,1
-122.2502572,47.50893824,1
-122.2594322,47.5089571,1
-122.3843334,47.50915848,1
-122.2630637,47.50968155,1
-122.2633511,47.50968332,1
-122.2633511,47.50968332,1
-122.2620845,47.50968564,1
-122.2564839,47.5097036,1
-122.251187,47.50971802,1
-122.2505969,47.50972189,1
-122.375866,47.50998225,1
-122.3746156,47.50998552,1
-122.3781127,47.51000107,1
-122.245743,47.51061932,1
-122.3716262,47.5106317,1
-122.3771676,47.51098352,1
-122.2424315,47.51100592,1
-122.381603,47.51102938,1
-122.3380413,47.5112091,1
-122.2725951,47.51180444,1
-122.2607293,47.51238267,1
-122.2511071,47.51243608,1
-122.2558655,47.51250818,1
-122.3740522,47.51278725,1
-122.2721993,47.51294229,1
-122.2620544,47.51331364,1
-122.2538033,47.5133673,1
-122.2593928,47.51336903,1
-122.2593928,47.51336903,1
-122.2593928,47.51336903,1
-122.2593834,47.51390761,1
-122.2533682,47.51417387,1
-122.3764374,47.51419379,1
-122.3791678,47.51420763,1
-122.25703,47.51427,1
-122.2582021,47.51427728,1
-122.2582021,47.51427728,1
-122.2582,47.51428,1
-122.3805814,47.51468392,1
-122.2541902,47.51480966,1
-122.3719421,47.51488274,1
-122.3719421,47.51488274,1
-122.373277,47.51517049,1
-122.2665247,47.51546533,1
-122.3591804,47.5155272,1
-122.3779782,47.51561012,1
-122.3820273,47.51562105,1
-122.26203,47.51601,1
-122.3591894,47.5164465,1
-122.2587923,47.51674916,1
-122.2593568,47.51678596,1
-122.2620245,47.51680179,1
-122.2620245,47.51680179,1
-122.2635592,47.51681296,1
-122.267449,47.51683489,1
-122.2696148,47.51684865,1
-122.2573075,47.51724086,1
-122.2573075,47.51724086,1
-122.35516,47.517357,1
-122.3605415,47.51735978,1
-122.35987,47.51736,1
-122.3632251,47.51736205,1
-122.3713991,47.51742441,1
-122.3761988,47.5174801,1
-122.2605049,47.51762361,1
-122.2616546,47.51789865,1
-122.3558295,47.51810155,1
-122.3558295,47.51810155,1
-122.3558295,47.51810155,1
-122.3558295,47.51810155,1
-122.3558295,47.51810155,1
-122.3896057,47.51824581,1
-122.3506476,47.51825201,1
-122.3659079,47.51827809,1
-122.3578464,47.51827906,1
-122.367276,47.51828947,1
-122.367276,47.51828947,1
-122.3517266,47.51836705,1
-122.35173,47.518368,1
-122.3768538,47.51838341,1
-122.2700009,47.51865158,1
-122.2700009,47.51865158,1
-122.2700009,47.51865158,1
-122.333275,47.518673,1
-122.2608015,47.51868763,1
-122.3564966,47.51883995,1
-122.2705819,47.51904244,1
-122.2711689,47.5190445,1
-122.261354,47.51911142,1
-122.3511808,47.51917342,1
-122.3511808,47.51917342,1
-122.355147,47.51919531,1
-122.355147,47.51919531,1
-122.3672701,47.5191995,1
-122.3713635,47.51923464,1
-122.2736329,47.51961138,1
-122.3573175,47.51976075,1
-122.3573175,47.51976075,1
-122.3573175,47.51976075,1
-122.3573175,47.51976075,1
-122.26803,47.51985,1
-122.2680301,47.51985178,1
-122.2680301,47.51985178,1
-122.2680301,47.51985178,1
-122.2711581,47.51986269,1
-122.2711581,47.51986269,1
-122.2589181,47.52001979,1
